objectid,classification,beginyear
1524,Decorative Art,1475.0
1997,Drawing,1765.0
1529,Decorative Art,1500.0
1530,Decorative Art,1500.0
1531,Decorative Art,1550.0
1532,Decorative Art,1550.0
1534,Decorative Art,1500.0
1561,Decorative Art,1500.0
1543,Decorative Art,1500.0
1544,Decorative Art,1500.0
1545,Decorative Art,1500.0
1548,Decorative Art,1400.0
1549,Decorative Art,1400.0
1552,Decorative Art,1520.0
1554,Decorative Art,1540.0
1555,Decorative Art,1375.0
1557,Decorative Art,1500.0
1567,Decorative Art,1784.0
1568,Decorative Art,1745.0
1569,Decorative Art,1780.0
1570,Decorative Art,1775.0
1578,Decorative Art,1745.0
1572,Decorative Art,1767.0
1573,Decorative Art,1750.0
1574,Decorative Art,1743.0
1575,Decorative Art,1720.0
1577,Decorative Art,1745.0
1629,Decorative Art,1600.0
1581,Decorative Art,1760.0
1582,Decorative Art,1764.0
2101,Drawing,1767.0
1583,Decorative Art,1740.0
1585,Decorative Art,1770.0
1586,Decorative Art,1830.0
1633,Decorative Art,1600.0
1589,Decorative Art,1830.0
1590,Decorative Art,1830.0
1591,Decorative Art,1830.0
1985,Drawing,1795.0
1592,Decorative Art,1830.0
1593,Decorative Art,1830.0
1594,Decorative Art,1830.0
1595,Decorative Art,1830.0
1637,Decorative Art,1600.0
1597,Decorative Art,1830.0
1599,Decorative Art,1725.0
1600,Decorative Art,1725.0
1601,Decorative Art,1725.0
1602,Decorative Art,1725.0
1603,Decorative Art,1723.0
1604,Decorative Art,1723.0
2342,Drawing,1753.0
1986,Volume,1795.0
1610,Decorative Art,1583.0
1611,Decorative Art,1583.0
1641,Decorative Art,1600.0
3424,Print,1876.0
1613,Decorative Art,1781.0
1614,Decorative Art,1781.0
1615,Decorative Art,1781.0
1652,Decorative Art,1600.0
1616,Decorative Art,1781.0
1625,Decorative Art,1600.0
1649,Decorative Art,1500.0
1650,Decorative Art,1400.0
1651,Decorative Art,1600.0
1654,Decorative Art,1650.0
1655,Decorative Art,1600.0
1656,Decorative Art,1550.0
1657,Decorative Art,1650.0
1658,Decorative Art,1650.0
1659,Decorative Art,1662.0
1660,Decorative Art,1662.0
1717,Decorative Art,1700.0
1661,Decorative Art,1662.0
1662,Decorative Art,1662.0
1663,Decorative Art,1723.0
1664,Decorative Art,1723.0
1665,Decorative Art,1662.0
1666,Decorative Art,1662.0
1667,Decorative Art,1662.0
1867,Drawing,1757.0
1668,Decorative Art,1662.0
1669,Decorative Art,1662.0
1670,Decorative Art,1662.0
1671,Decorative Art,1662.0
1672,Decorative Art,1662.0
1673,Decorative Art,1662.0
1674,Decorative Art,1662.0
1675,Decorative Art,1662.0
1676,Decorative Art,1662.0
1677,Decorative Art,1662.0
1678,Decorative Art,1662.0
1679,Decorative Art,1662.0
1680,Decorative Art,1850.0
1681,Decorative Art,1662.0
1682,Decorative Art,1662.0
1683,Decorative Art,1662.0
1685,Decorative Art,1662.0
2446,Print,1775.0
1686,Decorative Art,1662.0
1715,Decorative Art,1650.0
1687,Decorative Art,1662.0
1688,Decorative Art,1662.0
1689,Decorative Art,1662.0
1690,Decorative Art,1662.0
1691,Decorative Art,1662.0
1692,Decorative Art,1662.0
1693,Decorative Art,1662.0
1714,Decorative Art,1725.0
1694,Decorative Art,1662.0
1695,Decorative Art,1662.0
1696,Decorative Art,1662.0
1697,Decorative Art,1662.0
1698,Decorative Art,1662.0
1699,Decorative Art,1662.0
1700,Decorative Art,1662.0
1701,Decorative Art,1662.0
1702,Decorative Art,1662.0
1998,Print,1767.0
1716,Decorative Art,1700.0
1704,Decorative Art,1700.0
1705,Decorative Art,1700.0
1707,Decorative Art,1700.0
1708,Decorative Art,1700.0
1709,Decorative Art,1662.0
1710,Decorative Art,1573.0
1711,Decorative Art,1750.0
1712,Decorative Art,1750.0
1713,Decorative Art,1650.0
1999,Drawing,1765.0
1718,Decorative Art,1750.0
1719,Decorative Art,1750.0
1720,Decorative Art,1650.0
1721,Decorative Art,1700.0
1722,Decorative Art,1750.0
1723,Decorative Art,1750.0
1724,Decorative Art,1750.0
1725,Decorative Art,1750.0
1868,Drawing,1757.0
1727,Decorative Art,1725.0
1728,Decorative Art,1723.0
1795,Decorative Art,1662.0
1729,Decorative Art,1736.0
1730,Decorative Art,1700.0
1731,Decorative Art,1725.0
1732,Decorative Art,1725.0
1733,Decorative Art,1725.0
1734,Decorative Art,1725.0
1735,Decorative Art,1725.0
1736,Decorative Art,1662.0
2343,Drawing,1754.0
1737,Decorative Art,1662.0
1738,Decorative Art,1662.0
1739,Decorative Art,1662.0
1740,Decorative Art,1662.0
1741,Decorative Art,1662.0
1742,Decorative Art,1662.0
1743,Decorative Art,1662.0
1744,Decorative Art,1662.0
1745,Decorative Art,1662.0
1746,Decorative Art,1662.0
1747,Decorative Art,1662.0
2447,Print,1775.0
1797,Decorative Art,1736.0
1748,Decorative Art,1662.0
1749,Decorative Art,1662.0
1750,Decorative Art,1662.0
1751,Decorative Art,1662.0
1752,Decorative Art,1662.0
1753,Decorative Art,1662.0
1754,Decorative Art,1662.0
1755,Decorative Art,1662.0
1756,Decorative Art,1662.0
1757,Decorative Art,1662.0
1758,Decorative Art,1662.0
1759,Decorative Art,1662.0
1760,Decorative Art,1662.0
1761,Decorative Art,1662.0
1762,Decorative Art,1662.0
1763,Decorative Art,1662.0
1765,Decorative Art,1662.0
1766,Decorative Art,1662.0
1776,Decorative Art,1662.0
1767,Decorative Art,1900.0
1768,Decorative Art,1662.0
1769,Decorative Art,1900.0
1770,Decorative Art,1662.0
1771,Decorative Art,1662.0
1772,Decorative Art,1662.0
1773,Decorative Art,1662.0
1774,Decorative Art,1662.0
1775,Decorative Art,1662.0
1869,Drawing,1757.0
1777,Decorative Art,1662.0
1778,Decorative Art,1662.0
1779,Decorative Art,1662.0
1780,Decorative Art,1662.0
1781,Decorative Art,1662.0
1782,Decorative Art,1662.0
1783,Decorative Art,1662.0
1784,Decorative Art,1662.0
1785,Decorative Art,1662.0
1786,Decorative Art,1662.0
1796,Decorative Art,1662.0
8994,Print,1925.0
1787,Decorative Art,1662.0
1788,Decorative Art,1662.0
1789,Decorative Art,1662.0
1790,Decorative Art,1662.0
1791,Decorative Art,1662.0
1792,Decorative Art,1662.0
1793,Decorative Art,1662.0
1794,Decorative Art,1662.0
1798,Decorative Art,1662.0
1799,Decorative Art,1662.0
1800,Decorative Art,1662.0
1801,Decorative Art,1662.0
1802,Decorative Art,1662.0
1803,Decorative Art,1662.0
1804,Decorative Art,1662.0
1805,Decorative Art,1662.0
1806,Decorative Art,1662.0
1807,Decorative Art,1662.0
1808,Decorative Art,1662.0
1809,Decorative Art,1662.0
1810,Decorative Art,1662.0
1811,Decorative Art,1750.0
1812,Decorative Art,1750.0
1813,Decorative Art,1725.0
1814,Decorative Art,1725.0
1815,Decorative Art,1725.0
1816,Decorative Art,1725.0
1828,Decorative Art,1800.0
1829,Decorative Art,1800.0
1987,Print,1767.0
1817,Decorative Art,1725.0
1818,Decorative Art,1750.0
1819,Decorative Art,1750.0
1820,Decorative Art,1750.0
1821,Decorative Art,1750.0
1822,Decorative Art,1662.0
1823,Decorative Art,1750.0
1824,Decorative Art,1750.0
1825,Decorative Art,1825.0
1826,Decorative Art,1800.0
1827,Decorative Art,1800.0
1833,Decorative Art,1800.0
1834,Decorative Art,1800.0
2137,Drawing,1767.0
1857,Drawing,1790.0
1858,Volume,1790.0
1859,Drawing,1790.0
1860,Drawing,1790.0
1861,Drawing,1790.0
1863,Drawing,1790.0
1864,Drawing,1757.0
2401,Volume,1773.0
1866,Drawing,1757.0
1870,Drawing,1757.0
1871,Drawing,1757.0
1872,Drawing,1757.0
1873,Drawing,1757.0
1874,Drawing,1757.0
1875,Drawing,1757.0
1876,Drawing,1757.0
1877,Drawing,1757.0
1879,Drawing,1757.0
1880,Drawing,1757.0
1881,Drawing,1757.0
1882,Drawing,1757.0
2474,Volume,1771.0
1884,Drawing,1757.0
1885,Drawing,1757.0
1886,Drawing,1757.0
1887,Drawing,1757.0
1888,Drawing,1757.0
1889,Drawing,1757.0
1890,Drawing,1757.0
1891,Drawing,1757.0
1892,Drawing,1757.0
1893,Drawing,1757.0
1894,Drawing,1757.0
1895,Drawing,1757.0
1988,Volume,1767.0
1896,Drawing,1757.0
1897,Drawing,1757.0
1995,Drawing,1765.0
1898,Drawing,1757.0
1899,Drawing,1757.0
1900,Drawing,1757.0
1901,Drawing,1757.0
1902,Drawing,1757.0
1903,Drawing,1757.0
1904,Drawing,1757.0
1905,Volume,1757.0
1906,Drawing,1757.0
1907,Drawing,1757.0
1908,Drawing,1757.0
1989,Print,1767.0
1909,Drawing,1757.0
1910,Drawing,1757.0
1911,Drawing,1757.0
2344,Drawing,1754.0
1912,Drawing,1757.0
1913,Drawing,1757.0
1914,Drawing,1757.0
1915,Drawing,1757.0
1916,Drawing,1757.0
1917,Drawing,1757.0
1918,Drawing,1757.0
1919,Drawing,1757.0
1920,Drawing,1757.0
1922,Drawing,1757.0
1923,Drawing,1757.0
1924,Drawing,1757.0
1925,Drawing,1757.0
1926,Drawing,1757.0
1927,Drawing,1757.0
1928,Drawing,1757.0
1929,Drawing,1757.0
1930,Drawing,1757.0
1931,Drawing,1757.0
1932,Drawing,1757.0
1933,Drawing,1757.0
1934,Drawing,1757.0
1935,Drawing,1757.0
1936,Drawing,1757.0
1937,Drawing,1757.0
1938,Drawing,1757.0
1939,Drawing,1757.0
2018,Print,1767.0
1940,Drawing,1757.0
1942,Drawing,1757.0
1943,Drawing,1757.0
1944,Volume,1757.0
1945,Drawing,1757.0
1946,Drawing,1757.0
1947,Drawing,1757.0
1990,Print,1767.0
1948,Drawing,1757.0
1949,Drawing,1757.0
1950,Drawing,1757.0
1951,Drawing,1757.0
1952,Drawing,1757.0
1953,Drawing,1757.0
1954,Drawing,1757.0
1955,Drawing,1757.0
1956,Drawing,1757.0
1957,Drawing,1757.0
1958,Drawing,1757.0
1959,Drawing,1757.0
1991,Drawing,1765.0
1960,Drawing,1757.0
1961,Drawing,1757.0
1962,Drawing,1757.0
1963,Drawing,1757.0
1965,Drawing,1757.0
1966,Drawing,1757.0
